"zip","city","county","stateCode","population","state"
32404,"Panama City","Bay County","FL",40969,"Florida"
33014,"Hialeah","Miami-Dade County","FL",40739,"Florida"
33322,"Fort Lauderdale","Broward County","FL",40738,"Florida"
33604,"Tampa","Hillsborough County","FL",40328,"Florida"
33172,"Miami","Miami-Dade County","FL",40278,"Florida"
32811,"Orlando","Orange County","FL",40191,"Florida"
32065,"Orange Park","Clay County","FL",40035,"Florida"
32034,"Fernandina Beach","Nassau County","FL",40026,"Florida"
33837,"Davenport","Polk County","FL",39979,"Florida"
34203,"Bradenton","Manatee County","FL",39757,"Florida"
32571,"Milton","Santa Rosa County","FL",39756,"Florida"
32955,"Rockledge","Brevard County","FL",39745,"Florida"
33071,"Coral Springs","Broward County","FL",39677,"Florida"
34759,"Kissimmee","Polk County","FL",39528,"Florida"
33619,"Tampa","Hillsborough County","FL",39272,"Florida"
33905,"Fort Myers","Lee County","FL",39247,"Florida"
33881,"Winter Haven","Polk County","FL",38946,"Florida"
32707,"Casselberry","Seminole County","FL",38868,"Florida"
33908,"Fort Myers","Lee County","FL",38844,"Florida"
32780,"Titusville","Brevard County","FL",38552,"Florida"
32714,"Altamonte Springs","Seminole County","FL",38306,"Florida"
34120,"Naples","Collier County","FL",38191,"Florida"
33437,"Boynton Beach","Palm Beach County","FL",38178,"Florida"
33055,"Opa Locka","Miami-Dade County","FL",37977,"Florida"
33134,"Miami","Miami-Dade County","FL",37958,"Florida"
34698,"Dunedin","Pinellas County","FL",37838,"Florida"
33309,"Fort Lauderdale","Broward County","FL",37829,"Florida"
32810,"Orlando","Orange County","FL",37755,"Florida"
33813,"Lakeland","Polk County","FL",37582,"Florida"
33435,"Boynton Beach","Palm Beach County","FL",37533,"Florida"
33060,"Pompano Beach","Broward County","FL",37522,"Florida"
33613,"Tampa","Hillsborough County","FL",37354,"Florida"
33056,"Miami Gardens","Miami-Dade County","FL",37274,"Florida"
33823,"Auburndale","Polk County","FL",37082,"Florida"
32817,"Orlando","Orange County","FL",36808,"Florida"
32909,"Palm Bay","Brevard County","FL",36725,"Florida"
33460,"Lake Worth Beach","Palm Beach County","FL",36578,"Florida"
32904,"Melbourne","Brevard County","FL",36556,"Florida"
33030,"Homestead","Miami-Dade County","FL",36405,"Florida"
34608,"Spring Hill","Hernando County","FL",36398,"Florida"
33040,"Key West","Monroe County","FL",36379,"Florida"
33317,"Fort Lauderdale","Broward County","FL",36322,"Florida"
33410,"Palm Beach Gardens","Palm Beach County","FL",36277,"Florida"
33909,"Cape Coral","Lee County","FL",36172,"Florida"
32084,"Saint Augustine","St. Johns County","FL",36129,"Florida"
32506,"Pensacola","Escambia County","FL",36066,"Florida"
32209,"Jacksonville","Duval County","FL",36062,"Florida"
33884,"Winter Haven","Polk County","FL",36058,"Florida"
33141,"Miami Beach","Miami-Dade County","FL",35967,"Florida"
32211,"Jacksonville","Duval County","FL",35863,"Florida"
33594,"Valrico","Hillsborough County","FL",35824,"Florida"
32812,"Orlando","Orange County","FL",35822,"Florida"
34116,"Naples","Collier County","FL",35710,"Florida"
32114,"Daytona Beach","Volusia County","FL",35583,"Florida"
33417,"West Palm Beach","Palm Beach County","FL",35555,"Florida"
32807,"Orlando","Orange County","FL",35479,"Florida"
32207,"Jacksonville","Duval County","FL",35392,"Florida"
34653,"New Port Richey","Pasco County","FL",35319,"Florida"
33543,"Wesley Chapel","Pasco County","FL",35187,"Florida"
33139,"Miami Beach","Miami-Dade County","FL",35100,"Florida"
33351,"Fort Lauderdale","Broward County","FL",35082,"Florida"
32277,"Jacksonville","Duval County","FL",34880,"Florida"
33611,"Tampa","Hillsborough County","FL",34877,"Florida"
32570,"Milton","Santa Rosa County","FL",34755,"Florida"
33135,"Miami","Miami-Dade County","FL",34742,"Florida"
33952,"Port Charlotte","Charlotte County","FL",34731,"Florida"
33133,"Miami","Miami-Dade County","FL",34500,"Florida"
34207,"Bradenton","Manatee County","FL",34437,"Florida"
34142,"Immokalee","Collier County","FL",34411,"Florida"
33174,"Miami","Miami-Dade County","FL",34335,"Florida"
34232,"Sarasota","Sarasota County","FL",34324,"Florida"
33990,"Cape Coral","Lee County","FL",34275,"Florida"
32547,"Fort Walton Beach","Okaloosa County","FL",34124,"Florida"
33710,"Saint Petersburg","Pinellas County","FL",34102,"Florida"
34209,"Bradenton","Manatee County","FL",34089,"Florida"
33183,"Miami","Miami-Dade County","FL",34057,"Florida"
34683,"Palm Harbor","Pinellas County","FL",34031,"Florida"
32578,"Niceville","Okaloosa County","FL",34022,"Florida"
32720,"Deland","Volusia County","FL",33876,"Florida"
32503,"Pensacola","Escambia County","FL",33875,"Florida"
33801,"Lakeland","Polk County","FL",33861,"Florida"
32086,"Saint Augustine","St. Johns County","FL",33817,"Florida"
32301,"Tallahassee","Leon County","FL",33803,"Florida"
33073,"Pompano Beach","Broward County","FL",33691,"Florida"
32309,"Tallahassee","Leon County","FL",33675,"Florida"
33409,"West Palm Beach","Palm Beach County","FL",33372,"Florida"
34638,"Land O'Lakes","Pasco County","FL",33183,"Florida"
33173,"Miami","Miami-Dade County","FL",33026,"Florida"
34119,"Naples","Collier County","FL",33017,"Florida"
33130,"Miami","Miami-Dade County","FL",32946,"Florida"
33407,"West Palm Beach","Palm Beach County","FL",32904,"Florida"
33180,"Miami","Miami-Dade County","FL",32881,"Florida"
32507,"Pensacola","Escambia County","FL",32766,"Florida"
33713,"Saint Petersburg","Pinellas County","FL",32713,"Florida"
33570,"Ruskin","Hillsborough County","FL",32620,"Florida"
33756,"Clearwater","Pinellas County","FL",32615,"Florida"
33156,"Miami","Miami-Dade County","FL",32582,"Florida"
34472,"Ocala","Marion County","FL",32528,"Florida"
34231,"Sarasota","Sarasota County","FL",32413,"Florida"
33904,"Cape Coral","Lee County","FL",32345,"Florida"
32773,"Sanford","Seminole County","FL",32342,"Florida"
34772,"Saint Cloud","Osceola County","FL",32268,"Florida"
32312,"Tallahassee","Leon County","FL",32244,"Florida"
33462,"Lake Worth","Palm Beach County","FL",32232,"Florida"
33442,"Deerfield Beach","Broward County","FL",32076,"Florida"
34491,"Summerfield","Marion County","FL",32062,"Florida"
33150,"Miami","Miami-Dade County","FL",31807,"Florida"
32757,"Mount Dora","Lake County","FL",31758,"Florida"
32043,"Green Cove Springs","Clay County","FL",31705,"Florida"
33143,"Miami","Miami-Dade County","FL",31688,"Florida"
34243,"Sarasota","Manatee County","FL",31656,"Florida"
33401,"West Palm Beach","Palm Beach County","FL",31625,"Florida"
33054,"Opa Locka","Miami-Dade County","FL",31590,"Florida"
33325,"Fort Lauderdale","Broward County","FL",31546,"Florida"
33326,"Fort Lauderdale","Broward County","FL",31514,"Florida"
32539,"Crestview","Okaloosa County","FL",31392,"Florida"
32208,"Jacksonville","Duval County","FL",31368,"Florida"
33445,"Delray Beach","Palm Beach County","FL",31283,"Florida"
33470,"Loxahatchee","Palm Beach County","FL",31165,"Florida"
32832,"Orlando","Orange County","FL",31143,"Florida"
33702,"Saint Petersburg","Pinellas County","FL",31119,"Florida"
33334,"Fort Lauderdale","Broward County","FL",31047,"Florida"
33404,"West Palm Beach","Palm Beach County","FL",31034,"Florida"
34205,"Bradenton","Manatee County","FL",30966,"Florida"
32205,"Jacksonville","Duval County","FL",30913,"Florida"
33809,"Lakeland","Polk County","FL",30897,"Florida"
33026,"Hollywood","Broward County","FL",30868,"Florida"
33626,"Tampa","Hillsborough County","FL",30736,"Florida"
34990,"Palm City","Martin County","FL",30606,"Florida"
32221,"Jacksonville","Duval County","FL",30597,"Florida"
33993,"Cape Coral","Lee County","FL",30572,"Florida"
32583,"Milton","Santa Rosa County","FL",30534,"Florida"
33917,"North Fort Myers","Lee County","FL",30512,"Florida"
33547,"Lithia","Hillsborough County","FL",30431,"Florida"
